"glat","glon","windspeed"
9.6,124.3,46.4426288661046
9.7,123.8,46.066402322091
8.7,124.8,39.5300098132183
9.9,124.2,46.4426288661046
9.6,123.8,46.066402322091
9.6,124.1,46.2534290756335
9.7,124.3,46.4426288661046
9.6,124.2,46.4426288661046
9.7,124.4,46.6338809692305
10,124,46.2534290756335
10.1,124.1,46.2534290756335
9.6,124,46.2534290756335
8.8,124.9,39.5300098132183
9.8,123.8,46.066402322091
9.9,124.5,46.6338809692305
9.5,123.7,45.8816693297508
9.8,124.3,46.4426288661046
10.1,124.5,46.6338809692305
8.9,124.8,21.2644332232667
8.9,124.7,21.1920278794965
8.6,124.9,40.3296886215237
8.5,124.4,39.5300098132183
8.7,125,40.3296886215237
8.6,124.7,39.5300098132183
8.8,124.8,39.5300098132183
8.5,124.3,38.7718695868358
8.9,125.2,21.021292514362
8.5,124.7,40.3296886215237
8.9,124.9,21.2644332232667
9.6,123.9,46.066402322091
10,125,47.0220592163512
10.6,124.3,41.6469229377499
10.9,123.9,55.30273
8.5,124.9,40.3296886215237
9.9,124,46.2534290756335
9.7,124,46.2534290756335
9.8,124.4,46.6338809692305
9.7,124.5,46.6338809692305
9.7,124.2,46.4426288661046
10.1,124.2,46.4426288661046
9.4,123.3,23.0332011610455
10,123.5,45.8816693297508
10.7,123.9,55.30273
10.9,124,55.8998525
10.8,123.9,55.30273
10.2,123.8,46.066402322091
10.3,123.6,45.8816693297508
10.6,123.8,39.6536536316368
10.6,124.4,41.6469229377499
9.2,123.6,23.0332011610455
9.2,123.5,36.2100792764327
9.1,123.5,36.2100792764327
9.1,123.6,36.7743727871748
10.6,125,57.0940975
10.2,125.2,47.0220592163512
10.3,124.9,44.3864180494955
10.3,125.1,45.0711280676194
10.3,125.2,45.7527458345994
10.3,125,44.3864180494955
10.1,125.1,47.0220592163512
10.1,124.8,46.8270646607373
10,124.9,47.0220592163512
10.1,124.9,46.8270646607373
9.9,125.2,47.2187439117985
10,125.1,47.0220592163512
10.2,125.1,47.0220592163512
10.5,125.1,57.0940975
10.4,124.9,44.3864180494955
10.2,124.9,46.8270646607373
9.9,125,47.0220592163512
8.5,123.4,36.7743727871748
8.5,123.3,36.7743727871748
9.8,124.1,46.4426288661046
9.8,124,46.2534290756335
9.7,123.9,46.2534290756335
9.7,124.1,46.4426288661046
10,124.1,46.4426288661046
9.8,123.9,46.2534290756335
9.9,124.3,46.4426288661046
10,124.3,46.4426288661046
9.9,123.9,46.2534290756335
9.9,124.4,46.6338809692305
10.1,124.3,46.4426288661046
9.9,123.4,45.8816693297508
9.7,123.4,45.8816693297508
9.7,123.3,45.6993508228869
10.1,123.5,45.8816693297508
9.9,123.5,45.8816693297508
10.5,123.7,39.6536536316368
9.8,123.4,45.8816693297508
10.4,123.7,39.6536536316368
11,123.9,55.30273
9.6,123.4,45.6993508228869
10.1,123.6,46.066402322091
10.5,123.9,40.0315140724771
10.6,123.9,39.6536536316368
10.3,123.8,46.066402322091
10.4,123.9,40.0315140724771
10.3,123.9,46.066402322091
10.2,123.9,46.066402322091
10,123.4,45.8816693297508
9.5,123.3,30.2362877805762
9.6,123.3,45.6993508228869
10.2,123.7,46.066402322091
9.5,123.4,30.8169082000726
10.7,124.5,56.496975
10.2,123.6,45.8816693297508
10.9,124.7,57.0940975
10.3,124.8,43.7001291538372
10.6,124.8,56.496975
10.9,124.8,57.0940975
11,124.8,57.0940975
10.9,125,57.0940975
10.4,124.8,43.7001291538372
10.4,124.7,43.0137747542538
10.5,124.8,43.7001291538372
10.9,124.4,56.496975
10.7,124.9,57.0940975
10.9,124.9,57.0940975
10.8,124.9,57.0940975
10.5,124.9,44.3864180494955
10.2,124.8,46.8270646607373
10.9,124.5,56.496975
11,124.6,56.496975
11,124.4,56.496975
11,124.9,57.0940975
11,125,57.0940975
8.5,123.5,36.7743727871748
8.6,123.4,36.7743727871748
9.1,124.6,23.4135323303686
9.1,124.7,23.4135323303686
9.2,124.7,23.5110296081756
8.6,123.6,37.3912818350192
8.5,123.6,37.3912818350192
9.2,125.5,35.363871011941
9.5,125.5,47.4169980228053
9.5,125.4,47.2187439117985
9.6,125.5,47.4169980228053
9.7,125.4,47.4169980228053
9.6,125.4,47.2187439117985
9.7,125.5,47.4169980228053
10.8,123.2,38.9676927420846
10.6,123.4,39.2986994568685
10.8,123,38.6616746811974
10.8,123.4,38.9676927420846
10.2,123,45.5195675257729
10.1,123.2,45.6993508228869
10,123.1,45.6993508228869
9.7,123,45.5195675257729
9,125.5,23.7084990114026
8.9,125.3,21.021292514362
9.3,123.2,22.9408346648754
8.8,125.3,22.5528575
8.9,125.5,23.6093719558992
9.3,125.5,41.9340785784418
8.7,125.5,22.7212766666667
8.6,125.4,41.1681367729572
9.4,125.5,47.2187439117985
10,125.5,47.4169980228053
9.9,125.5,47.4169980228053
10.1,125.5,47.2187439117985
10.2,125.5,47.7639118925814
10.3,123,45.5195675257729
10.9,123.1,54.108485
10.2,123.1,45.5195675257729
10.5,123,38.6616746811974
10.8,123.3,54.108485
10.4,123.3,45.5195675257729
10.7,123,38.6616746811974
10.7,123.4,38.9676927420846
10.8,123.1,38.6616746811974
10.5,123.2,38.9676927420846
9.4,123.1,22.9408346648754
9.8,123,45.5195675257729
9.2,123.2,35.7011705415879
9.5,123,29.6565626337491
10.3,123.2,45.6993508228869
9.4,123,22.8496754114434
9.4,123.2,22.9408346648754
9.1,123,35.7011705415879
9.3,123.1,35.2504158214353
9.9,123,45.5195675257729
9.2,123.1,35.7011705415879
9.1,123.1,35.7011705415879
