"BASIN","CY","YYYYMMDDHH","LAT","LON","VMAX","STORMNAME","storm_id"
"WP",NA,1977061400,15.6,117.1,40,"RUTH","RUTH_1977"
"WP",NA,1977061406,16.6,117.1,45,"RUTH","RUTH_1977"
"WP",NA,1977061412,17.3,116.7,45,"RUTH","RUTH_1977"
"WP",NA,1977061418,18,116.7,45,"RUTH","RUTH_1977"
"WP",NA,1977061500,18.5,116.7,45,"RUTH","RUTH_1977"
"WP",NA,1977061506,19.4,117.1,55,"RUTH","RUTH_1977"
"WP",NA,1977071700,12,125.6,35,"SARAH","SARAH_1977"
"WP",NA,1977071706,13,124.7,35,"SARAH","SARAH_1977"
"WP",NA,1977071712,13.6,123.5,45,"SARAH","SARAH_1977"
"WP",NA,1977071718,13.7,122.3,45,"SARAH","SARAH_1977"
"WP",NA,1977071800,14.7,121.2,40,"SARAH","SARAH_1977"
"WP",NA,1977071806,16,120.5,40,"SARAH","SARAH_1977"
"WP",NA,1977071812,16.2,118.7,45,"SARAH","SARAH_1977"
"WP",NA,1977071818,16.5,117,45,"SARAH","SARAH_1977"
"WP",NA,1977071900,17.2,115.7,50,"SARAH","SARAH_1977"
"WP",NA,1977072112,15.8,128,45,"THELMA","THELMA_1977"
"WP",NA,1977072118,16,127.5,45,"THELMA","THELMA_1977"
"WP",NA,1977072200,16.3,127,50,"THELMA","THELMA_1977"
"WP",NA,1977072206,16.7,126.2,50,"THELMA","THELMA_1977"
"WP",NA,1977072212,17,125.3,55,"THELMA","THELMA_1977"
"WP",NA,1977072218,17.2,124.5,65,"THELMA","THELMA_1977"
"WP",NA,1977072300,17.8,123.9,65,"THELMA","THELMA_1977"
"WP",NA,1977072306,18.3,123,70,"THELMA","THELMA_1977"
"WP",NA,1977072312,18.8,122.1,70,"THELMA","THELMA_1977"
"WP",NA,1977072318,19.2,121.2,70,"THELMA","THELMA_1977"
"WP",NA,1977072400,19.7,120.5,70,"THELMA","THELMA_1977"
"WP",NA,1977081800,20,128,35,"AMY","AMY_1977"
"WP",NA,1977090606,14.1,129.7,70,"BABE","BABE_1977"
"WP",NA,1977090612,14.8,129.4,70,"BABE","BABE_1977"
"WP",NA,1977090618,15.6,129,70,"BABE","BABE_1977"
"WP",NA,1977090700,16.4,128.6,80,"BABE","BABE_1977"
"WP",NA,1977090706,17.8,128.1,90,"BABE","BABE_1977"
"WP",NA,1977090712,18.7,127.8,90,"BABE","BABE_1977"
"WP",NA,1977090718,19.6,127.4,90,"BABE","BABE_1977"
"WP",NA,1977091506,18.6,123.5,60,"DINAH","DINAH_1977"
"WP",NA,1977091512,18.2,122.5,70,"DINAH","DINAH_1977"
"WP",NA,1977091518,17.8,121.3,65,"DINAH","DINAH_1977"
"WP",NA,1977091600,17.5,120.1,55,"DINAH","DINAH_1977"
"WP",NA,1977091606,17.3,119.3,55,"DINAH","DINAH_1977"
"WP",NA,1977091612,17.2,118.5,50,"DINAH","DINAH_1977"
"WP",NA,1977091618,17.3,117.7,50,"DINAH","DINAH_1977"
"WP",NA,1977091700,17.4,117,50,"DINAH","DINAH_1977"
"WP",NA,1977091706,17.4,116.2,60,"DINAH","DINAH_1977"
"WP",NA,1977091712,17.6,115.7,60,"DINAH","DINAH_1977"
"WP",NA,1977091718,18.1,116.2,55,"DINAH","DINAH_1977"
"WP",NA,1977091800,18.4,117,50,"DINAH","DINAH_1977"
"WP",NA,1977091806,18.9,117.6,50,"DINAH","DINAH_1977"
